### Before adding a hidden layer

Epoch: 0 | MSE Train Loss: 1.5849891901016235 | MSE Test Loss: 2.348175287246704 
Epoch: 10 | MSE Train Loss: 0.46398887038230896 | MSE Test Loss: 0.7780724763870239 
Epoch: 20 | MSE Train Loss: 0.13431599736213684 | MSE Test Loss: 0.27359652519226074 
Epoch: 30 | MSE Train Loss: 0.03857835754752159 | MSE Test Loss: 0.10607178509235382 
Epoch: 40 | MSE Train Loss: 0.012226576916873455 | MSE Test Loss: 0.0485740527510643 
Epoch: 50 | MSE Train Loss: 0.005230523180216551 | MSE Test Loss: 0.027321171015501022 
Epoch: 60 | MSE Train Loss: 0.0033739774953573942 | MSE Test Loss: 0.01863436959683895 
Epoch: 70 | MSE Train Loss: 0.002842834684997797 | MSE Test Loss: 0.014691615477204323 
Epoch: 80 | MSE Train Loss: 0.0026491708122193813 | MSE Test Loss: 0.012709352187812328 
Epoch: 90 | MSE Train Loss: 0.002541973954066634 | MSE Test Loss: 0.011599397286772728 



### After adding a hidden layer

Epoch: 0 | MSE Train Loss: 1.5849891901016235 | MSE Test Loss: 2.348175287246704 
Epoch: 10 | MSE Train Loss: 0.46398887038230896 | MSE Test Loss: 0.7780724763870239 
Epoch: 20 | MSE Train Loss: 0.13431599736213684 | MSE Test Loss: 0.27359652519226074 
Epoch: 30 | MSE Train Loss: 0.03857835754752159 | MSE Test Loss: 0.10607178509235382 
Epoch: 40 | MSE Train Loss: 0.012226576916873455 | MSE Test Loss: 0.0485740527510643 
Epoch: 50 | MSE Train Loss: 0.005230523180216551 | MSE Test Loss: 0.027321171015501022 
Epoch: 60 | MSE Train Loss: 0.0033739774953573942 | MSE Test Loss: 0.01863436959683895 
Epoch: 70 | MSE Train Loss: 0.002842834684997797 | MSE Test Loss: 0.014691615477204323 
Epoch: 80 | MSE Train Loss: 0.0026491708122193813 | MSE Test Loss: 0.012709352187812328 
Epoch: 90 | MSE Train Loss: 0.002541973954066634 | MSE Test Loss: 0.011599397286772728 
